Order ID,Arrival Scan Date,Customer Name
CA-2019-109666,2019-05-03,Kunst Miller
CA-2019-138933,2019-05-03,Jack Lebron
CA-2019-130001,2019-05-03,Heather Kirkland
CA-2019-113061,2019-05-06,Ed Ludwig
CA-2019-162138,2019-05-06,Grace Kelly
CA-2019-126270,2019-05-06,Art Ferguson
CA-2019-168081,2019-05-06,Cathy Armstrong
CA-2019-149279,2019-05-06,Craig Leslie
CA-2019-146836,2019-05-06,Cindy Chapman
CA-2019-109869,2019-05-07,Tanja Norvell
CA-2019-109057,2019-05-07,Tonja Turnell
US-2019-150147,2019-05-07,John Lucas
CA-2019-161816,2019-05-07,Nona Balk
CA-2019-167605,2019-05-07,Rob Beeghly
CA-2019-101329,2019-05-08,Michael Moore
CA-2019-152814,2019-05-10,Erica Hernandez
CA-2019-145247,2019-05-10,Natalie DeCherney
CA-2019-129280,2019-05-13,Susan MacKendrick
CA-2019-154788,2019-05-13,John Lee
CA-2019-144792,2019-05-13,Ken Dana
CA-2019-101525,2019-05-13,Chris McAfee
CA-2019-104311,2019-05-13,Adam Shillingsburg
CA-2019-109400,2019-05-13,Nick Radford
US-2019-102239,2019-05-13,Lindsay Williams
CA-2019-106530,2019-05-13,Clay Ludtke
CA-2019-111696,2019-05-13,Trudy Brown
CA-2019-112676,2019-05-14,Patrick Jones
CA-2019-160500,2019-05-14,Darrin Martin
CA-2019-126165,2019-05-14,Amy Hunt
CA-2019-118052,2019-05-15,Brad Eason
CA-2019-137729,2019-05-17,Barry Franz
CA-2019-137393,2019-05-17,Gene McClure
CA-2019-164672,2019-05-20,George Bell
CA-2019-169166,2019-05-20,Sonia Sunley
CA-2019-161158,2019-05-20,Paul Stevenson
US-2019-144057,2019-05-20,Cynthia Voltz
CA-2019-133816,2019-05-20,Christopher Schild
CA-2019-162733,2019-05-20,Ted Trevino
CA-2019-141019,2019-05-20,Logan Haushalter
CA-2019-108224,2019-05-20,Tiffany House
US-2019-159093,2019-05-21,Ricardo Sperren
CA-2019-159765,2019-05-22,Thea Hendricks
CA-2019-109176,2019-05-22,Julia West
CA-2019-161543,2019-05-22,Roger Demir
